name,n_trials,n_sw_trials,n_vsw_trials,n_L_trials,n_R_trials,pct_correct,pct_sw_correct,pct_vsw_correct,pct_L_correct,pct_R_correct,task,subject,n_units,n_cells,n_mua,session
s0se0,61,28,21,27,34,0.7166666666666667,0.75,0.8095238095238095,0.6666666666666666,0.7352941176470589,T3g,Li,2,0,2,Li_T3g_052818
s0se2,179,64,52,86,93,0.848314606741573,0.84375,0.8653846153846154,0.8255813953488372,0.8602150537634409,T3g,Li,14,6,8,Li_T3g_052918
s0se5,146,58,43,64,82,0.7862068965517242,0.8448275862068966,0.813953488372093,0.625,0.902439024390244,T3g,Li,9,5,4,Li_T3g_053018
s0se7,161,77,65,78,83,0.8,0.8441558441558441,0.8615384615384616,0.6923076923076923,0.891566265060241,T3g,Li,16,5,11,Li_T3g_053118
s0se8,176,65,52,85,91,0.8333333333333334,0.8615384615384616,0.9423076923076924,0.788235294117647,0.8571428571428571,T3g,Li,14,5,9,Li_T3g_060118
s0se10,145,58,50,80,65,0.8194444444444444,0.8275862068965517,0.9,0.7875,0.8461538461538461,T3g,Li,20,6,14,Li_T3g_060418
s0se12,176,67,37,92,84,0.5953757225433526,0.4925373134328358,0.4864864864864865,0.4673913043478261,0.7142857142857143,T3i,Li,25,8,17,Li_T3i_060518
s0se14,158,62,39,91,67,0.6153846153846154,0.5483870967741935,0.6923076923076923,0.6153846153846154,0.5970149253731343,T3i,Li,28,10,18,Li_T3i_060618
s0se16,105,34,19,64,41,0.5714285714285714,0.5588235294117647,0.5789473684210527,0.515625,0.6585365853658537,T3i,Li,4,0,4,Li_T3i_060818
s0se19,134,18,6,68,66,0.6390977443609023,0.3333333333333333,0.3333333333333333,0.5588235294117647,0.7121212121212122,T3i,Li,17,4,13,Li_T3i_061118
s0se23,155,74,57,80,75,0.7189542483660131,0.6621621621621622,0.631578947368421,0.7,0.72,T3g,Li,21,6,15,Li_T3g_061318
s0se24,196,102,74,97,99,0.7128205128205128,0.6666666666666666,0.6486486486486487,0.5773195876288659,0.8383838383838383,T3g,Li,22,6,16,Li_T3g_061418
s0se27,130,72,44,71,59,0.6328125,0.5277777777777778,0.5227272727272727,0.6901408450704225,0.5423728813559322,T3g,Li,23,7,16,Li_T3g_061518
s0se29,156,80,66,71,85,0.8,0.825,0.8333333333333334,0.8028169014084507,0.788235294117647,T3g,Li,25,10,15,Li_T3g_061818
s0se31,191,101,83,107,84,0.7736842105263158,0.801980198019802,0.8674698795180723,0.7850467289719626,0.75,T3g,Li,26,7,19,Li_T3g_062018
s0se32,171,77,58,85,86,0.7692307692307693,0.8181818181818182,0.8620689655172413,0.788235294117647,0.7325581395348837,T3g,Li,31,6,25,Li_T3g_062518
s0se34,163,84,62,86,77,0.7407407407407407,0.7261904761904762,0.7741935483870968,0.7209302325581395,0.7532467532467533,T3g,Li,31,5,26,Li_T3g_062618
s0se36,212,111,87,119,93,0.7867298578199052,0.7837837837837838,0.8735632183908046,0.7815126050420168,0.7849462365591398,T3g,Li,25,8,17,Li_T3g_062718
s0se38,127,69,56,76,51,0.8467741935483871,0.8260869565217391,0.9107142857142856,0.868421052631579,0.7647058823529411,T3g,Li,24,5,19,Li_T3g_062818
s0se41,184,92,71,93,91,0.8296703296703297,0.7934782608695652,0.8732394366197183,0.8064516129032258,0.8351648351648352,T3g,Li,23,7,16,Li_T3g_062918
s0se43,101,44,26,59,42,0.693069306930693,0.6818181818181818,0.8461538461538461,0.6440677966101694,0.7619047619047619,T3g,Li,35,5,30,Li_T3g_070218
s0se45,183,95,62,89,94,0.6263736263736264,0.5789473684210527,0.6451612903225806,0.5617977528089888,0.6808510638297872,T3g,Li,22,6,16,Li_T3g_070618
s0se47,232,117,92,122,110,0.7748917748917749,0.7692307692307693,0.782608695652174,0.8032786885245902,0.7363636363636363,T3g,Li,24,4,20,Li_T3g_070918
s0se49,164,86,67,79,85,0.803680981595092,0.8023255813953488,0.8805970149253731,0.7848101265822784,0.8117647058823529,T3g,Li,31,5,26,Li_T3g_071018
s0se50,72,30,23,39,33,0.6197183098591549,0.6666666666666666,0.782608695652174,0.5384615384615384,0.696969696969697,T3g,Li,17,11,6,Li_T3g_071118
s0se51,189,99,83,95,94,0.8031914893617021,0.7878787878787878,0.8192771084337349,0.7473684210526316,0.851063829787234,T3g,Li,13,4,9,Li_T3g_072518
