,name,subject,session,task,task_orig,n_cells,n_mua
0,s0se0,Li,Li_T3g_052818,T3,T3g,0,2
1,s0se1,Li,Li_OF_052818,OF,OF,3,11
2,s0se2,Li,Li_T3g_052918,T3,T3g,6,8
3,s0se3,Li,Li_OF_052918,OF,OF,16,13
4,s0se4,Li,Li_OF_053018,OF,OF,12,28
5,s0se5,Li,Li_T3g_053018,T3,T3g,5,4
6,s0se6,Li,Li_OF_053118,OF,OF,8,15
7,s0se7,Li,Li_T3g_053118,T3,T3g,5,11
8,s0se8,Li,Li_T3g_060118,T3,T3g,5,9
9,s0se9,Li,Li_OF_060118,OF,OF,8,13
10,s0se10,Li,Li_T3g_060418,T3,T3g,6,14
11,s0se11,Li,Li_OF_060418,OF,OF,6,14
12,s0se12,Li,Li_T3i_060518,T3,T3i,8,17
13,s0se13,Li,Li_OF_060518,OF,OF,18,11
14,s0se14,Li,Li_T3i_060618,T3,T3i,10,18
15,s0se15,Li,Li_OF_060718,OF,OF,19,18
16,s0se16,Li,Li_T3i_060818,T3,T3i,0,4
17,s0se17,Li,Li_OF_060818,OF,OF,1,21
18,s0se18,Li,Li_OF_061118,OF,OF,9,13
19,s0se19,Li,Li_T3i_061118,T3,T3i,4,13
20,s0se20,Li,Li_OF_061218,OF,OF,14,18
21,s0se21,Li,Li_T3i_061218_0001,T3,T3i,7,12
22,s0se22,Li,Li_OF_061318,OF,OF,13,6
23,s0se23,Li,Li_T3g_061318,T3,T3g,6,15
24,s0se24,Li,Li_T3g_061418,T3,T3g,6,16
25,s0se25,Li,Li_OF_061418,OF,OF,9,14
26,s0se26,Li,Li_OF_061518,OF,OF,6,15
27,s0se27,Li,Li_T3g_061518,T3,T3g,7,16
28,s0se28,Li,Li_OF_061818,OF,OF,9,18
29,s0se29,Li,Li_T3g_061818,T3,T3g,10,15
30,s0se30,Li,Li_OF_062018,OF,OF,11,21
31,s0se31,Li,Li_T3g_062018,T3,T3g,7,19
32,s0se32,Li,Li_T3g_062518,T3,T3g,6,25
33,s0se33,Li,Li_OF_062518,OF,OF,13,6
34,s0se34,Li,Li_T3g_062618,T3,T3g,5,26
35,s0se35,Li,Li_OF_062618,OF,OF,14,9
36,s0se36,Li,Li_T3g_062718,T3,T3g,8,17
37,s0se37,Li,Li_OF_062718,OF,OF,15,17
38,s0se38,Li,Li_T3g_062818,T3,T3g,5,19
39,s0se39,Li,Li_OF_062818,OF,OF,9,14
40,s0se40,Li,Li_OF_062918,OF,OF,7,20
41,s0se41,Li,Li_T3g_062918,T3,T3g,7,16
42,s0se42,Li,Li_OF_070218,OF,OF,10,19
43,s0se43,Li,Li_T3g_070218,T3,T3g,5,30
44,s0se44,Li,Li_T3g_070518_0001,T3,T3g,6,13
45,s0se45,Li,Li_T3g_070618,T3,T3g,6,16
46,s0se46,Li,Li_OF_070618,OF,OF,6,12
47,s0se47,Li,Li_T3g_070918,T3,T3g,4,20
48,s0se48,Li,Li_OF_071018,OF,OF,5,25
49,s0se49,Li,Li_T3g_071018,T3,T3g,5,26
50,s0se50,Li,Li_T3g_071118,T3,T3g,11,6
51,s0se51,Li,Li_T3g_072518,T3,T3g,4,9
52,s0se52,Li,Li_T3g_072618,T3,T3g,7,14
53,s0se53,Li,Li_T3g_073018,T3,T3g,10,6
54,s0se54,Li,Li_T3g_080118,T3,T3g,8,11
55,s0se55,Li,Li_OF_080118,OF,OF,5,15
56,s0se56,Li,Li_T3g_080218,T3,T3g,0,1
57,s0se57,Li,Li_OF_080218,OF,OF,10,14
58,s0se58,Li,Li_T3g_080318,T3,T3g,3,8
59,s0se59,Li,Li_T3g_080618,T3,T3g,0,2
60,s0se60,Li,Li_OF_080718,OF,OF,8,14
61,s1se0,Ne,NE_OF_052818,OF,OF,0,12
62,s1se1,Ne,NE_T3g_052818,T3,T3g,3,18
63,s1se2,Ne,NE_OF_052918,OF,OF,0,4
64,s1se3,Ne,NE_T3g_052918,T3,T3g,3,18
65,s1se4,Ne,NE_T3g_053018_0001,T3,T3g,0,8
66,s1se5,Ne,NE_OF_053018,OF,OF,8,27
67,s1se6,Ne,NE_OF_053118,OF,OF,6,14
68,s1se7,Ne,NE_T3g_053118,T3,T3g,4,26
69,s1se8,Ne,NE_OF_060118,OF,OF,4,20
70,s1se9,Ne,Ne_T3g_060118,T3,T3g,7,13
71,s1se10,Ne,Ne_T3g_060118_0001,T3,T3g,6,11
72,s1se11,Ne,NE_OF_060418,OF,OF,0,4
73,s1se12,Ne,NE_T3g_060418,T3,T3g,0,2
74,s1se13,Ne,NE_T3i_060518,T3,T3i,0,5
75,s1se14,Ne,Ne_OF_060518,OF,OF,2,1
76,s1se15,Ne,NE_T3i_060618,T3,T3i,2,4
77,s1se16,Ne,NE_OF_060718,OF,OF,4,17
78,s1se17,Ne,Ne_T3i_060818,T3,T3i,0,4
79,s1se18,Ne,NE_OF_060818,OF,OF,8,17
80,s1se19,Ne,NE_T3i_061118,T3,T3i,9,19
81,s1se20,Ne,NE_OF_061118,OF,OF,7,6
82,s1se21,Ne,NE_T3g_061218,T3,T3g,6,8
83,s1se22,Ne,NE_OF_061218,OF,OF,8,24
84,s1se23,Ne,NE_T3g_061318,T3,T3g,3,17
85,s1se24,Ne,NE_OF_061318,OF,OF,7,27
86,s1se25,Ne,NE_T3g_061418,T3,T3g,5,18
87,s1se26,Ne,NE_OF_061418,OF,OF,0,1
88,s1se27,Ne,NE_OF_061418_0001,OF,OF,1,13
89,s1se28,Ne,NE_T3g_061518,T3,T3g,4,4
90,s1se29,Ne,NE_OF_061518,OF,OF,6,16
91,s1se30,Ne,NE_T3g_061818,T3,T3g,2,9
92,s1se31,Ne,NE_OF_061818,OF,OF,12,14
93,s1se32,Ne,NE_OF_062018,OF,OF,4,7
