,match_cl_id,subject,session_T3,session_OF,cl_name_T3,cl_name_OF,uuid_T3,uuid_OF,match_pair_number,of_cluster_id,of_umap1,of_umap2
0,0,Li,Li_T3i_061218_0001,Li_OF_061318,Li_T3i_061218_0001-tt3_d17.5_cl10,Li_OF_061318-tt3_d17.5_cl1,438,458,0,0,-2.6383383,0.99057233
1,0,Li,Li_T3g_061318,Li_OF_061318,Li_T3g_061318-tt3_d17.5_cl5,Li_OF_061318-tt3_d17.5_cl1,476,458,1,0,-2.6383383,0.99057233
2,1,Li,Li_T3g_061518,Li_OF_062618,Li_T3g_061518-tt3_d17.75_cl1,Li_OF_062618-tt3_d17.75_cl15,563,778,0,1,3.101047,3.9320076
3,1,Li,Li_T3g_061818,Li_OF_062618,Li_T3g_061818-tt3_d17.75_cl7,Li_OF_062618-tt3_d17.75_cl15,614,778,1,1,3.101047,3.9320076
4,2,Li,Li_T3g_061818,Li_OF_061818,Li_T3g_061818-tt3_d17.75_cl6,Li_OF_061818-tt3_d17.75_cl14,613,587,0,2,9.152409,4.8891153
5,2,Li,Li_T3g_061818,Li_OF_062618,Li_T3g_061818-tt3_d17.75_cl6,Li_OF_062618-tt3_d17.75_cl17,613,779,1,2,9.152409,4.8891153
6,3,Li,Li_T3g_071118,Li_OF_071018,Li_T3g_071118-tt3_d18.5_cl7,Li_OF_071018-tt3_d18.5_cl5,1162,1101,0,2,11.181856,5.6483936
7,4,Li,Li_T3i_061218_0001,Li_OF_061318,Li_T3i_061218_0001-tt8_d16.5_cl4,Li_OF_061318-tt8_d16.5_cl0,439,461,0,0,-3.763964,1.9169825
8,5,Li,Li_T3i_061218_0001,Li_OF_061418,Li_T3i_061218_0001-tt8_d16.5_cl5,Li_OF_061418-tt8_d16.5_cl0,440,521,0,0,-4.0314517,3.6300237
9,5,Li,Li_T3g_061318,Li_OF_061418,Li_T3g_061318-tt8_d16.5_cl15,Li_OF_061418-tt8_d16.5_cl0,480,521,1,0,-4.0314517,3.6300237
10,6,Li,Li_T3i_061218_0001,Li_OF_061318,Li_T3i_061218_0001-tt8_d16.5_cl17,Li_OF_061318-tt8_d16.5_cl1,441,462,0,0,-4.4052753,2.2731164
11,6,Li,Li_T3i_061218_0001,Li_OF_061418,Li_T3i_061218_0001-tt8_d16.5_cl17,Li_OF_061418-tt8_d16.5_cl3,441,523,1,0,-4.4052753,2.2731164
12,7,Li,Li_T3g_061418,Li_OF_061318,Li_T3g_061418-tt8_d16.5_cl2,Li_OF_061318-tt8_d16.5_cl5,499,463,0,0,-4.3885427,2.0026548
13,8,Li,Li_T3g_061418,Li_OF_061318,Li_T3g_061418-tt8_d16.5_cl5,Li_OF_061318-tt8_d16.5_cl13,500,464,0,0,-4.1442943,3.9557555
14,9,Li,Li_T3g_061318,Li_OF_061318,Li_T3g_061318-tt8_d16.5_cl5,Li_OF_061318-tt8_d16.5_cl14,478,465,0,0,-4.7829056,3.1925395
15,10,Li,Li_T3g_061318,Li_OF_061418,Li_T3g_061318-tt8_d16.5_cl4,Li_OF_061418-tt8_d16.5_cl2,477,522,0,0,-1.880879,1.2245986
16,11,Li,Li_T3g_061318,Li_OF_061418,Li_T3g_061318-tt8_d16.5_cl6,Li_OF_061418-tt8_d16.5_cl4,479,524,0,0,0.14674242,1.9716395
17,11,Li,Li_T3g_061418,Li_OF_061418,Li_T3g_061418-tt8_d16.5_cl0,Li_OF_061418-tt8_d16.5_cl4,498,524,1,0,0.14674242,1.9716395
18,12,Li,Li_T3g_062518,Li_OF_061518,Li_T3g_062518-tt8_d16.75_cl21,Li_OF_061518-tt8_d16.75_cl14,699,544,0,0,-0.9578107,2.3095553
19,12,Li,Li_T3g_062518,Li_OF_061818,Li_T3g_062518-tt8_d16.75_cl21,Li_OF_061818-tt8_d16.75_cl15,699,593,1,0,-0.9578107,2.3095553
20,13,Li,Li_T3g_062518,Li_OF_061518,Li_T3g_062518-tt8_d16.75_cl22,Li_OF_061518-tt8_d16.75_cl15,700,545,0,0,-1.9277159,2.1013672
21,14,Li,Li_T3g_061818,Li_OF_061518,Li_T3g_061818-tt8_d16.75_cl13,Li_OF_061518-tt8_d16.75_cl19,616,546,0,0,-2.993425,1.6072056
22,15,Li,Li_T3g_061518,Li_OF_061818,Li_T3g_061518-tt8_d16.75_cl2,Li_OF_061818-tt8_d16.75_cl3,564,591,0,0,-1.2817706,1.7093431
23,15,Li,Li_T3g_061518,Li_OF_062518,Li_T3g_061518-tt8_d16.75_cl2,Li_OF_062518-tt8_d16.75_cl17,564,732,1,0,-1.2817706,1.7093431
24,16,Li,Li_T3g_062018,Li_OF_062518,Li_T3g_062018-tt8_d16.75_cl1,Li_OF_062518-tt8_d16.75_cl11,670,729,0,0,-4.0644307,2.1769001
25,16,Li,Li_T3g_062618,Li_OF_062518,Li_T3g_062618-tt8_d16.75_cl21,Li_OF_062518-tt8_d16.75_cl11,748,729,1,0,-4.0644307,2.1769001
26,17,Li,Li_T3g_061518,Li_OF_061818,Li_T3g_061518-tt8_d16.75_cl12,Li_OF_061818-tt8_d16.75_cl12,565,592,0,0,-4.4730425,3.7069886
27,17,Li,Li_T3g_061518,Li_OF_062018,Li_T3g_061518-tt8_d16.75_cl12,Li_OF_062018-tt8_d16.75_cl3,565,643,1,0,-4.4730425,3.7069886
28,17,Li,Li_T3g_062518,Li_OF_061818,Li_T3g_062518-tt8_d16.75_cl18,Li_OF_061818-tt8_d16.75_cl12,698,592,2,0,-4.4730425,3.7069886
29,17,Li,Li_T3g_062518,Li_OF_062018,Li_T3g_062518-tt8_d16.75_cl18,Li_OF_062018-tt8_d16.75_cl3,698,643,3,0,-4.4730425,3.7069886
30,18,Li,Li_T3g_061518,Li_OF_061818,Li_T3g_061518-tt8_d16.75_cl13,Li_OF_061818-tt8_d16.75_cl0,566,589,0,0,-4.534976,3.6977835
31,18,Li,Li_T3g_061818,Li_OF_061818,Li_T3g_061818-tt8_d16.75_cl16,Li_OF_061818-tt8_d16.75_cl0,617,589,1,0,-4.534976,3.6977835
32,19,Li,Li_T3g_061818,Li_OF_062518,Li_T3g_061818-tt8_d16.75_cl17,Li_OF_062518-tt8_d16.75_cl18,618,733,0,0,-4.0144353,3.460524
33,20,Li,Li_T3g_061818,Li_OF_062618,Li_T3g_061818-tt8_d16.75_cl18,Li_OF_062618-tt8_d16.75_cl0,619,780,0,0,-4.373771,3.2608595
34,21,Li,Li_T3g_062018,Li_OF_061818,Li_T3g_062018-tt8_d16.75_cl14,Li_OF_061818-tt8_d16.75_cl1,673,590,0,0,-1.2346705,1.0456629
35,21,Li,Li_T3g_062018,Li_OF_062518,Li_T3g_062018-tt8_d16.75_cl14,Li_OF_062518-tt8_d16.75_cl2,673,728,1,0,-1.2346705,1.0456629
36,22,Li,Li_T3g_062518,Li_OF_062018,Li_T3g_062518-tt8_d16.75_cl14,Li_OF_062018-tt8_d16.75_cl4,697,644,0,0,-2.914655,1.4378177
37,23,Li,Li_T3g_062018,Li_OF_062518,Li_T3g_062018-tt8_d16.75_cl12,Li_OF_062518-tt8_d16.75_cl16,671,731,0,0,-4.2280946,3.2541866
38,24,Li,Li_T3g_062618,Li_OF_062618,Li_T3g_062618-tt8_d16.75_cl0,Li_OF_062618-tt8_d16.75_cl1,746,781,0,1,3.2135527,2.7256186
39,25,Li,Li_T3g_062618,Li_OF_062618,Li_T3g_062618-tt8_d16.75_cl22,Li_OF_062618-tt8_d16.75_cl2,749,782,0,0,-3.8157344,2.2286158
40,26,Li,Li_T3g_062718,Li_OF_062718,Li_T3g_062718-tt8_d17.0_cl0,Li_OF_062718-tt8_d17.0_cl3,800,827,0,0,-3.9863617,1.7690514
41,27,Li,Li_T3g_062718,Li_OF_062818,Li_T3g_062718-tt8_d17.0_cl1,Li_OF_062818-tt8_d17.0_cl4,801,884,0,0,-4.5995374,2.5261185
42,28,Li,Li_T3g_062718,Li_OF_062718,Li_T3g_062718-tt8_d17.0_cl5,Li_OF_062718-tt8_d17.0_cl1,802,826,0,0,-3.4394178,4.092883
43,28,Li,Li_T3g_062818,Li_OF_062718,Li_T3g_062818-tt8_d17.0_cl6,Li_OF_062718-tt8_d17.0_cl1,860,826,1,0,-3.4394178,4.092883
44,29,Li,Li_T3g_062718,Li_OF_062718,Li_T3g_062718-tt8_d17.0_cl15,Li_OF_062718-tt8_d17.0_cl0,803,825,0,0,-2.1038296,1.121986
45,30,Li,Li_T3g_062718,Li_OF_062718,Li_T3g_062718-tt8_d17.0_cl17,Li_OF_062718-tt8_d17.0_cl4,804,828,0,0,-3.725069,3.8740525
46,30,Li,Li_T3g_062718,Li_OF_062818,Li_T3g_062718-tt8_d17.0_cl17,Li_OF_062818-tt8_d17.0_cl0,804,881,1,0,-3.725069,3.8740525
47,30,Li,Li_T3g_062818,Li_OF_062718,Li_T3g_062818-tt8_d17.0_cl5,Li_OF_062718-tt8_d17.0_cl4,859,828,2,0,-3.725069,3.8740525
48,30,Li,Li_T3g_062818,Li_OF_062818,Li_T3g_062818-tt8_d17.0_cl5,Li_OF_062818-tt8_d17.0_cl0,859,881,3,0,-3.725069,3.8740525
49,31,Li,Li_T3g_062718,Li_OF_062718,Li_T3g_062718-tt8_d17.0_cl19,Li_OF_062718-tt8_d17.0_cl11,805,830,0,0,-4.1570764,3.762065
50,32,Li,Li_T3g_062818,Li_OF_062818,Li_T3g_062818-tt8_d17.0_cl0,Li_OF_062818-tt8_d17.0_cl1,857,882,0,0,-4.2046914,3.5310454
